ne_name,top_keys
CARDINAL,"[('AI 人工智慧', [('之一', 8), ('十萬', 2), ('數百萬', 2), ('60', 2), ('10', 2), ('數十', 2), ('數百', 2), ('148', 1), ('024', 1), ('十倍', 1), (' 10 萬', 1), ('2,000~3,500', 1), ('千餘', 1), ('95,000', 1), ('180', 1), ('350多', 1), ('200', 1), ('四分之一', 1), ('數以億', 1), ('92', 1)]), ('尖端科技', [('之一', 3), ('百萬', 2), ('三分之一', 1), ('4,000 ', 1), ('2,335', 1), ('數以萬', 1), ('144,000 ', 1), (' 72 ', 1), ('三角', 1), ('1,632', 1), ('幾億', 1), ('2,000~3,500', 1), ('853', 1), ('5.7', 1), ('900', 1), ('396', 1), ('300多', 1), ('140', 1), ('2050', 1), ('4,000', 1)]), ('市場動態', [('之一', 6), ('數十億', 4), ('上萬', 3), ('2,200', 1), ('299', 1), ('兩倍', 1), (' 20 億', 1), ('二十多', 1), ('五萬多', 1), ('二百多', 1), ('六成', 1), ('100 萬', 1), ('27,000', 1), ('14:00', 1), ('四合一', 1), ('近萬', 1), ('38 萬', 1), ('幾萬', 1), (' 8 萬', 1), ('10 ', 1)]), ('生物科技', [('之一', 5), ('三分之一', 3), ('10', 3), ('破萬', 2), ('100 萬', 2), ('20', 2), (' 18 萬', 2), ('一半', 2), ('10 萬', 2), ('19', 2), (' 萬', 2), ('四分之一', 2), ('2,082', 1), ('800萬', 1), ('11', 1), ('85萬', 1), ('6萬', 1), ('五成', 1), ('半數', 1), ('3,007', 1)]), ('網路', [('之一', 4), (' 1 億', 4), ('20 萬', 4), ('200 萬', 3), ('數億', 2), ('300 萬', 1), ('86,000', 1), ('2億2,218萬', 1), ('8,0', 1), ('00萬', 1), ('1.5萬', 1), ('數百', 1), ('三分之二', 1), ('超過百', 1), ('2.2 億', 1), ('229 萬', 1), ('21 萬', 1), ('43', 1), ('46倍', 1), ('60', 1)]), ('能源科技', [('之一', 6), ('2050', 4), ('四分之一', 2), ('幾千', 2), (' 176 ', 1), ('70 萬', 1), ('310 ', 1), ('10 萬', 1), ('一百萬', 1), ('半數', 1), ('29 ', 1), ('30', 1), ('400萬', 1), ('數百萬', 1), ('730.7萬桶', 1), ('700萬', 1), ('30萬', 1), ('1,022.7萬桶', 1), ('1,033.1萬桶', 1), ('1,043.6萬桶', 1)]), ('行動裝置', [('之一', 5), ('75', 2), ('800 萬', 2), ('300 萬', 2), ('5,640 萬台', 1), ('4,300 萬台', 1), (' 5,720 萬台', 1), ('高三', 1), ('000', 1), ('3.3億', 1), ('26', 1), ('100', 1), ('100萬', 1), ('兩倍', 1), ('四倍', 1), ('三方', 1), ('五種', 1), ('100 萬', 1), ('三星', 1), (' 600 萬', 1)]), ('零組件', [('之一', 5), ('數千', 2), ('三成', 2), ('五成', 2), ('2022', 2), ('3千', 1), ('三分之二', 1), ('20', 1), ('1億', 1), ('12 萬', 1), ('兩位數', 1), ('8,860萬', 1), ('148', 1), ('4.0', 1), ('7.4萬', 1), ('5.1萬', 1), (' 3 ', 1)]), ('全部', [('之一', 42), ('10', 6), ('四分之一', 5), ('數百', 5), ('一半', 5), ('2050', 5), ('數十', 4), ('三分之二', 4), ('三分之一', 4), ('100 萬', 4), ('上萬', 4), ('數十億', 4), (' 1 億', 4), ('20 萬', 4), ('十萬', 3), ('數百萬', 3), ('180', 3), ('60', 3), ('19', 3), ('兩倍', 3)])]"
DATE,"[('AI 人工智慧', [('今年', 14), ('去年', 7), ('近年', 7), ('今日', 6), ('2021 年', 6), ('2020 年', 5), ('一年', 4), ('過去一年', 4), ('2025 年', 4), ('5 年', 3), ('下半年', 3), ('2022 年', 3), ('多年', 3), ('2016 年', 3), ('2017年', 3), ('去年 12 月', 2), ('兩年內', 2), ('近日', 2), ('今年初', 2), ('過去幾年', 2)]), ('尖端科技', [('今年', 17), ('今日', 6), ('去年', 6), ('近日', 5), ('2014 年', 5), ('昨日', 5), ('幾十年', 3), ('2021 年', 3), ('2007年', 3), ('20年', 3), ('年底', 3), (' 11 月', 2), ('2010 年', 2), ('幾天', 2), ('未來十年', 2), ('今天', 2), ('今年 2 月', 2), ('2020 年', 2), ('多年', 2), ('2023年', 2)]), ('市場動態', [('21 年', 14), ('今年', 13), ('2021 年', 7), ('近年', 5), ('今日', 4), ('一年', 4), ('2016 年', 4), ('2018 年', 3), ('2020 年', 3), ('18 歲', 3), ('第一年', 3), ('去年', 2), ('2022 年', 2), ('2015 年', 2), ('2050 年', 2), ('多年', 2), ('2002 年', 2), ('10 年', 2), ('昨日', 2), ('一個月', 2)]), ('生物科技', [('今年', 25), ('今日', 20), ('去年', 14), ('今天', 6), ('5 月', 5), ('一週', 5), ('5~11歲', 4), (' 7 天', 4), ('10 天', 4), ('6~11歲', 3), ('幾十年', 3), ('一年', 3), ('全年', 3), ('3 月', 3), (' 5 月', 3), (' 10 天', 3), ('19日', 3), ('4 月 25 日', 2), ('4月20日', 2), ('去年底', 2)]), ('網路', [('今年', 34), ('去年', 15), ('2021 年', 14), ('第一季', 10), ('2020 年', 7), ('今日', 5), ('第二季', 5), ('5 月', 4), ('近日', 3), ('2014 年', 3), ('上週', 3), ('21日', 3), (' 2022 年', 3), ('多年', 3), ('2019 年', 3), ('19 日', 3), (' 4 月 23 日', 2), ('前一年度', 2), ('2021 年 6 月', 2), ('21 日', 2)]), ('能源科技', [('今年', 24), ('去年', 18), ('2030 年', 15), ('今日', 13), ('2050 年', 12), ('2021 年', 8), ('2025 年', 7), ('一天', 7), ('2020 年', 6), ('2035 年', 5), ('今天', 5), ('2035年', 5), ('2025年', 4), ('19日', 4), ('2024 年', 3), ('全年', 3), ('近年', 3), ('2050年', 3), ('數十年', 3), ('3月', 3)]), ('行動裝置', [('今年', 27), ('去年', 17), ('春季', 10), (' 2022 年', 8), ('2021 年', 4), ('2013年', 4), ('2022 年', 3), ('3 月', 3), ('2024 年', 3), ('今年秋季', 3), ('明年', 3), ('2018 年', 2), ('三年', 2), ('一個月', 2), ('2009年', 2), ('2019年', 2), ('2021年', 2), (' 2025 年', 2), ('第二季', 2), (' 2023 年', 2)]), ('零組件', [('今年', 25), ('去年', 20), ('2021 年', 14), ('第一季', 8), ('下半年', 8), ('2022 年', 7), ('2025 年', 7), ('全年', 6), ('第二季', 6), ('4 月', 4), ('2024 年', 4), ('2020 年', 4), ('20 日', 4), ('今日', 3), ('2 月', 3), ('3 月', 3), ('2030 年', 3), ('上年度', 3), ('今天', 3), ('30年', 2)]), ('全部', [('今年', 179), ('去年', 99), ('今日', 59), ('2021 年', 58), ('2020 年', 30), ('近年', 21), ('2025 年', 21), ('第一季', 21), ('2030 年', 20), ('今天', 19), ('2022 年', 18), ('2050 年', 17), ('一年', 17), ('全年', 17), ('下半年', 14), ('21 年', 14), ('多年', 13), ('第二季', 13), ('一個月', 12), ('2018 年', 12)])]"
EVENT,"[('AI 人工智慧', [('新冠疫情', 2), ('國際中風會議', 1), ('新冠肺炎', 1), ('雅典', 1), ('二次大戰', 1), ('二戰', 1)]), ('尖端科技', [('俄烏戰爭', 6), ('烏俄戰爭', 5), ('西北風', 1), ('克里米亞', 1), ('東京奧運', 1), ('E1 世界電動賽艇系列錦標賽', 1), (' F1H20 動力艇系列賽', 1), ('麥拉倫（McLaren）', 1), ('上海疫情', 1), ('新冠肺炎', 1), ('敘利亞內戰', 1), ('亞美尼亞─亞塞拜然戰爭', 1)]), ('市場動態', [('新冠疫情', 1), ('Pixel View 線上技術訓練研討會', 1), ('COVID-19', 1)]), ('生物科技', [('Omicron 疫情', 1), ('南韓武漢肺炎', 1), ('2019', 1)]), ('網路', [('超級盃', 7), ('烏俄戰爭', 3), ('克里米亞', 1), ('斯拉超級盃', 1), ('俄烏戰爭', 1), ('聯合國氣候大會', 1), ('COVID-19疫情', 1)]), ('能源科技', [('俄烏戰爭', 6), ('盧碧颱風', 1), ('環保署環評大會', 1), ('ID-19疫情', 1), ('烏克蘭戰爭', 1)]), ('行動裝置', [('俄烏戰爭', 2)]), ('零組件', [('俄烏戰爭', 1)]), ('全部', [('俄烏戰爭', 16), ('烏俄戰爭', 8), ('超級盃', 7), ('新冠疫情', 3), ('新冠肺炎', 2), ('克里米亞', 2), ('國際中風會議', 1), ('雅典', 1), ('二次大戰', 1), ('二戰', 1), ('西北風', 1), ('東京奧運', 1), ('E1 世界電動賽艇系列錦標賽', 1), (' F1H20 動力艇系列賽', 1), ('麥拉倫（McLaren）', 1), ('上海疫情', 1), ('敘利亞內戰', 1), ('亞美尼亞─亞塞拜然戰爭', 1), ('Pixel View 線上技術訓練研討會', 1), ('COVID-19', 1)])]"
FAC,"[('AI 人工智慧', [('國王十字大樓', 1), ('安柏里皇家空軍基地', 1)]), ('尖端科技', [('五角大廈', 4), ('龐貝考古公園', 2), ('甘迺迪太空中心', 2), ('阿貢國家實驗室', 2), ('龐貝', 1), ('托雷安農齊亞塔', 1), (' Spot ', 1), ('堪察加半島庫拉飛彈試驗場', 1), ('庫拉飛彈試驗場', 1), ('萊肯希思基地', 1), ('虹橋機場', 1), ('拉姆施泰因空軍基地', 1), ('美國太空港', 1)]), ('市場動態', [('鄧巴頓酒廠', 2), ('臺大醫院國際會議中心', 1), ('蘇格蘭酒廠', 1)]), ('生物科技', [('樟宜機場', 6), ('大佳河濱公園', 1), ('指揮中心', 1), ('台北天文館', 1)]), ('網路', [('松山機場', 2), (' Q1 ', 1), (' HBO Max ', 1), (' IP 庫', 1), ('劍橋', 1), ('五角大廈', 1), ('清泉岡機場', 1), ('國防部', 1), ('夏威夷基地', 1), ('花蓮佳山空軍基地', 1), ('中國軍事基地', 1)]), ('能源科技', [('德基水庫', 3), ('五角大廈', 3), ('愛達荷國家實驗室', 1), ('谷關水庫', 1), ('衡陽廠區', 1), ('昆山廠區', 1), ('虎躍廠總部', 1), ('克里姆林宮', 1)]), ('行動裝置', [('俄羅斯館', 1)]), ('零組件', [('高雄煉油廠', 2), ('楠梓產業園區', 2), ('高煉廠', 2), ('衡陽廠區', 1), ('昆山廠區', 1), ('虎躍廠總部', 1), ('IC 育成中心', 1), ('中壢廠', 1), ('中壢工業區', 1)]), ('全部', [('五角大廈', 8), ('樟宜機場', 6), ('德基水庫', 3), ('龐貝考古公園', 2), ('甘迺迪太空中心', 2), ('阿貢國家實驗室', 2), ('鄧巴頓酒廠', 2), ('松山機場', 2), ('衡陽廠區', 2), ('昆山廠區', 2), ('虎躍廠總部', 2), ('高雄煉油廠', 2), ('楠梓產業園區', 2), ('高煉廠', 2), ('國王十字大樓', 1), ('安柏里皇家空軍基地', 1), ('龐貝', 1), ('托雷安農齊亞塔', 1), (' Spot ', 1), ('堪察加半島庫拉飛彈試驗場', 1)])]"
GPE,"[('AI 人工智慧', [('台灣', 23), ('舊金山', 14), ('美國', 11), ('澳洲', 10), ('日本', 4), ('中國', 4), ('鳳凰城', 3), ('希臘', 3), ('高雄', 3), ('台北', 2), ('瑞士', 2), ('倫敦', 2), ('矽谷', 2), ('北京', 1), ('德國', 1), ('烏克蘭', 1), ('特拉維夫', 1), ('葡萄牙', 1), ('劍橋', 1), ('費城', 1)]), ('尖端科技', [('俄羅斯', 65), ('美國', 54), ('烏克蘭', 37), ('中國', 16), ('台灣', 13), ('龐貝城', 10), ('臺灣', 9), ('英國', 7), ('挪威', 6), ('以色列', 6), ('斯洛伐克', 6), ('波蘭', 5), ('日本', 5), ('德國', 5), ('義大利', 4), ('保加利亞', 4), ('撒旦', 3), ('美俄', 2), ('印度', 2), ('蘇聯', 2)]), ('市場動態', [('台灣', 72), ('日本', 13), ('臺灣', 11), ('蘇格蘭', 10), ('台北', 7), ('美國', 7), ('中國', 5), ('高雄', 5), ('英國', 5), ('香港', 3), ('荷蘭', 3), ('韓國', 2), ('台灣區', 2), ('法國', 2), ('昆山', 2), ('中華民國', 2), ('大寮', 1), ('日本京都市', 1), ('新加坡', 1), ('印度', 1)]), ('生物科技', [('台灣', 37), ('南韓', 28), ('日本', 25), ('美國', 21), ('香港', 9), ('新加坡', 8), ('加拿大', 7), ('中國', 7), ('澳洲', 5), ('印度', 5), ('桃園市', 4), ('英國', 3), ('新北市', 3), ('台北市', 3), ('基隆市', 3), ('韓國', 2), ('阿拉伯', 2), ('高雄市', 2), ('花蓮縣', 2), ('瑞士', 2)]), ('網路', [('台灣', 46), ('美國', 31), ('中國', 16), ('俄羅斯', 15), ('烏克蘭', 11), ('英國', 5), ('日本', 5), ('加拿大', 4), ('香港', 3), ('矽谷', 3), ('台北', 2), ('桃園', 2), ('台中', 2), ('智利', 2), ('哥斯大黎加', 2), ('秘魯', 2), ('印度', 2), ('基輔', 1), ('霍斯托梅', 1), ('白俄羅斯', 1)]), ('能源科技', [('台灣', 60), ('美國', 29), ('俄國', 28), ('英國', 24), ('俄羅斯', 24), ('中國', 20), ('南韓', 19), ('加州', 14), ('印度', 13), ('沙國', 13), ('日本', 11), ('德國', 11), ('彰化', 8), ('挪威', 8), ('烏克蘭', 7), ('法國', 6), ('上海', 6), ('義大利', 5), ('葡萄牙', 4), ('以色列', 3)]), ('行動裝置', [('台灣', 11), ('中國', 7), ('俄羅斯', 7), ('美國', 5), ('日本', 3), ('重慶', 3), ('巴塞隆納', 3), ('烏克蘭', 3), ('坡州', 3), ('印度', 2), ('韓國', 2), ('菲律賓', 2), ('西班牙', 2), ('馬來西亞', 1), ('越南', 1), ('英國', 1), ('加拿大', 1), ('墨西哥', 1), ('中資', 1), ('中國京東方', 1)]), ('零組件', [('中國', 35), ('美國', 29), ('台灣', 19), ('高雄', 7), ('上海', 7), ('昆山', 7), ('荷蘭', 5), ('亞利桑那州', 4), ('深圳', 3), ('蘇州', 3), ('昆山市', 3), ('日本', 2), ('新加坡', 2), ('樂山', 2), ('南韓', 2), ('英國', 1), ('台南', 1), ('新北', 1), ('南港', 1), ('俄烏', 1)]), ('全部', [('台灣', 281), ('美國', 187), ('俄羅斯', 113), ('中國', 110), ('日本', 68), ('烏克蘭', 61), ('南韓', 52), ('英國', 46), ('俄國', 29), ('印度', 26), ('臺灣', 20), ('德國', 19), ('澳洲', 17), ('加拿大', 16), ('高雄', 16), ('香港', 16), ('挪威', 15), ('加州', 15), ('上海', 15), ('舊金山', 14)])]"
LANGUAGE,"[('AI 人工智慧', [('中文', 2), ('粵語', 1)]), ('尖端科技', [('英文', 1)]), ('市場動態', [('英語', 1)]), ('生物科技', []), ('網路', [('中文', 2), ('粵語', 1)]), ('能源科技', []), ('行動裝置', []), ('零組件', [('英語', 1)]), ('全部', [('中文', 4), ('粵語', 2), ('英語', 2), ('英文', 1)])]"
LAW,"[('AI 人工智慧', []), ('尖端科技', [('新消減戰略武器條約', 1), ('國防授權法', 1)]), ('市場動態', []), ('生物科技', []), ('網路', [('住宅法', 2), ('財政部', 1)]), ('能源科技', [('氣候宣言', 1), ('巴黎協定', 1), ('巴黎氣候協定', 1), ('氣候變遷因應法', 1), ('氣候變遷調適法', 1)]), ('行動裝置', []), ('零組件', [('產業創新條例', 1), ('巴黎氣候協定', 1)]), ('全部', [('住宅法', 2), ('巴黎氣候協定', 2), ('新消減戰略武器條約', 1), ('國防授權法', 1), ('財政部', 1), ('氣候宣言', 1), ('巴黎協定', 1), ('氣候變遷因應法', 1), ('氣候變遷調適法', 1), ('產業創新條例', 1)])]"
LOC,"[('AI 人工智慧', [('歐洲', 5), ('亞洲區', 1), ('亞洲', 1)]), ('尖端科技', [('堪察加半島', 2), ('亞洲', 2), ('歐洲', 2), ('西北風', 1), ('內烏東', 1), ('南方戰區', 1), ('南極', 1), ('美東', 1), ('西昌', 1), ('北半球', 1), ('內蓋夫沙漠地區', 1), ('波河', 1), ('東歐', 1)]), ('市場動態', [('亞洲', 5), ('亞太', 4), ('歐洲', 3), ('亞太區', 2), ('東南亞', 2), ('北美', 2), ('基隆山區', 1)]), ('生物科技', [('亞洲', 4), ('東南亞', 2), ('亞太', 1), ('江南區', 1), ('淡水河', 1), ('北美', 1), ('北半球', 1), ('銀河系', 1), ('歐洲', 1), ('北歐', 1)]), ('網路', [('南區', 5), ('美東', 1), ('黃浦江', 1), ('關島', 1), ('太平島', 1), ('亞太區', 1), ('東南亞', 1), ('歐美', 1)]), ('能源科技', [('歐洲', 23), ('西南', 8), ('東南', 4), ('大甲溪', 3), ('非洲', 3), ('波羅的海', 2), ('北極海', 2), ('北美', 1), ('亞太區', 1), ('亞洲', 1), ('黑海', 1), ('北非', 1), ('西西里海峽', 1), ('Flickr', 1), ('石島灣', 1), ('美歐', 1), ('南歐', 1), ('南亞', 1)]), ('行動裝置', [('亞太區', 3), ('歐洲', 2), ('亞太', 1)]), ('零組件', [('楠梓區', 1), ('半屏山', 1), ('亞洲', 1), ('歐亞', 1), ('歐洲', 1), ('北美', 1), ('亞太', 1), ('華東', 1), ('華南', 1), ('長三角', 1), ('開發區', 1)]), ('全部', [('歐洲', 37), ('亞洲', 14), ('西南', 8), ('亞太', 7), ('亞太區', 7), ('東南亞', 5), ('北美', 5), ('南區', 5), ('東南', 4), ('大甲溪', 3), ('非洲', 3), ('堪察加半島', 2), ('美東', 2), ('北半球', 2), ('波羅的海', 2), ('北極海', 2), ('亞洲區', 1), ('西北風', 1), ('內烏東', 1), ('南方戰區', 1)])]"
MONEY,"[('AI 人工智慧', [('4,000 萬元', 2), ('新台幣67.9億元', 1), ('3,000 萬美元', 1), ('50 萬美元', 1), (' 3,450 萬美元', 1), (' 450 萬美元', 1), (' 10 億美金', 1), (' 100 億人民幣', 1), ('300 萬美元', 1), (' 1 億美元', 1), (' 12 億美元', 1), ('750萬美元', 1), (' 1.5 億美元', 1), (' 19 億美元', 1), (' 600 億美元', 1), ('6,400 萬元', 1), ('1,100 萬元', 1), (' 16 億美元', 1), ('數百萬美元', 1), ('500萬美元', 1)]), ('尖端科技', [(' 8 億美元', 2), ('3,000 萬美元', 1), ('50 萬美元', 1), (' 3,450 萬美元', 1), (' 450 萬美元', 1), (' 10 億美金', 1), (' 100 億人民幣', 1), (' 1000 股', 1), ('20,000 美元', 1), ('3.5 美元', 1), ('940美元', 1), ('480美元', 1)]), ('市場動態', [('299 元', 2), ('723 億元', 1), ('億元', 1), ('292 億美元', 1), (' 3 元美金', 1), ('一億美元', 1), ('1,500 萬美元', 1), ('新台幣4億元', 1), (' 2 億元', 1), ('一億美金', 1), ('新台幣', 1), ('3,600 元', 1), ('一萬元', 1), ('上千萬元', 1)]), ('生物科技', [('200 元', 3), ('218 元', 2), (' 195 元', 1), ('195 元', 1), ('170 元', 1), ('180 元', 1), (' 100 元', 1), ('25億美元', 1), ('約台幣726億6,950萬元', 1), ('530美元', 1), ('約新台幣15,624元', 1), ('250美元', 1), ('約新台幣7,370元', 1), ('6 億元', 1), ('943 萬元', 1), ('2.89 元', 1), ('0.25 元', 1), (' 3 元', 1), ('2.67美元', 1), ('236.2億美元', 1)]), ('網路', [('1 萬元', 4), ('19.2 萬元', 3), ('65.2 萬元', 2), ('54 萬元', 2), ('0 元', 2), ('53 萬元', 2), (' 1 萬元', 2), ('430億美元', 2), ('54.20美元', 2), ('約台幣 85 元', 2), ('8,000 元', 1), ('000 元', 1), ('8.8 萬元', 1), ('5.2 萬元', 1), ('24 萬元', 1), ('2.5 萬元', 1), (' 5 萬元', 1), ('76.8 萬元', 1), ('1.6 萬元', 1), ('2.6 萬元', 1)]), ('能源科技', [('100元', 4), ('1 元', 4), ('1.9 元', 3), ('185美元', 2), ('300元', 2), (' 15 億英鎊', 2), ('50億元', 2), ('10 億元', 2), ('2.6 元', 2), ('1.04 元', 2), ('1.43 元', 2), (' 5 億美元', 1), ('5.46 億美元', 1), ('約 159 億新台幣', 1), ('520 億英鎊', 1), ('20 億美元', 1), ('69.83美元', 1), ('新台幣 26 億元', 1), ('25%', 1), ('6,000萬美元', 1)]), ('行動裝置', [('990 元', 2), ('1億美元', 1), ('3.0', 1), ('100美元', 1), ('499美元', 1), (' 14,990 元', 1), ('1.41 兆元', 1), ('5,074 億元', 1), ('429美元', 1), ('2,990 元', 1), ('7,990 元', 1), ('2,200 元', 1), ('900 元', 1), (' 400 歐元', 1), ('90 元', 1), ('5,000 美元', 1), ('新台幣 2.1 億元', 1), (' 2 萬元', 1)]), ('零組件', [('新台幣', 4), ('11 億歐元', 2), ('600 元', 2), (' 410 元', 2), ('4 萬元', 1), ('3 萬元', 1), (' 3.6 萬元', 1), (' 80 億美元', 1), ('320 億美元', 1), (' 600 億美元', 1), (' 355 億元', 1), ('4.71 億歐元', 1), ('20 億美元', 1), ('2.5 億美元', 1), ('52 億美元', 1), ('915.13億日圓', 1), ('662.06億日圓', 1), ('854億日圓', 1), ('617億日圓', 1), ('624億日圓', 1)]), ('全部', [('新台幣', 7), ('1 萬元', 4), ('100元', 4), ('1 元', 4), ('200 元', 3), ('19.2 萬元', 3), ('50億元', 3), ('1.9 元', 3), ('新台幣67.9億元', 2), ('3,000 萬美元', 2), ('50 萬美元', 2), (' 3,450 萬美元', 2), (' 450 萬美元', 2), (' 10 億美金', 2), (' 100 億人民幣', 2), (' 600 億美元', 2), ('4,000 萬元', 2), (' 8 億美元', 2), ('億元', 2), ('299 元', 2)])]"
NORP,"[('AI 人工智慧', [('美國', 2), ('日本', 1), ('美商', 1), ('香港', 1), ('華人', 1)]), ('尖端科技', [('烏軍', 3), ('日商', 2), ('日本', 2), ('美製', 1), ('瓦肯人', 1), ('美東', 1), ('俄羅斯人', 1), ('瑞士商', 1), ('美國', 1), ('烏克蘭軍', 1), ('俄軍', 1)]), ('市場動態', [('台灣', 3), ('日本', 3), ('美國', 2), ('大陸', 1), ('英國', 1), ('亞洲', 1)]), ('生物科技', [('南韓人', 7), ('美國', 2), ('日本', 1), ('日本人', 1)]), ('網路', [('美國', 5), ('烏克蘭', 2), ('美國人', 2), ('中國', 2), ('華納', 1), ('美式', 1), ('日經', 1), ('韓星', 1), ('日本', 1)]), ('能源科技', [('德國人', 3), ('俄央', 1), ('日本', 1), ('英國', 1)]), ('行動裝置', [('中國', 4), ('韓媒', 4), ('俄商', 1), ('日本', 1)]), ('零組件', [('台商', 5), ('美國', 2), ('美國人', 1), ('中國', 1)]), ('全部', [('美國', 14), ('日本', 10), ('南韓人', 7), ('中國', 7), ('台商', 5), ('韓媒', 4), ('烏軍', 3), ('台灣', 3), ('美國人', 3), ('德國人', 3), ('日商', 2), ('英國', 2), ('烏克蘭', 2), ('美商', 1), ('香港', 1), ('華人', 1), ('美製', 1), ('瓦肯人', 1), ('美東', 1), ('俄羅斯人', 1)])]"
